Id	Species	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18
UCSB_IZC00008208_L	Agapostemon texanus	0.11563143140079812	-0.40095228616135453	0.24789356125925768	-0.3125525291557263	0.17312369139287626	0.01925335209674564	0.20981907837693925	0.12302988823006902	0.03677235174852528	0.3292675657236078	-0.0016829667975108153	0.48750059212761493	-0.18045248942327824	-0.014252747284065781	-0.29418587519924355	-0.08297548329520953	-0.3069187827583637	-0.14831835228168172
UCSB_IZC00008208_R	Agapostemon texanus	0.11430294634265603	-0.39984555701503477	0.24817473229501213	-0.3130424087464367	0.17520926870735776	0.02702033348424021	0.20922566868645343	0.12502368557777016	0.03149757724043886	0.33515379780918675	0.007630081209688083	0.478171811008297	-0.18135744541139226	-0.015026490422830566	-0.29629592516409015	-0.08789238687836494	-0.30838690390612633	-0.14956278481682528
UCSB_IZC00012323_L	Agapostemon texanus	0.10682178351568206	-0.401531420060938	0.23374746781938546	-0.2824834307298955	0.18179607097931047	0.02835176546085469	0.21374978793405103	0.12439629168805127	0.04160549913225994	0.32852539361274524	0.015357738316585656	0.4916328080497533	-0.18112304757289616	-0.01859766726970842	-0.29671891301966813	-0.09668192595069447	-0.31523638710471086	-0.17361181480016882
UCSB_IZC00012323_R	Agapostemon texanus	0.1076675430343684	-0.40077060647121193	0.2413819737212854	-0.2835385290451492	0.1797916088985159	0.02663629740230833	0.20998993859789106	0.11763524376948119	0.04335424073127117	0.32674536986590436	0.013740995621721097	0.4935242233315637	-0.1828253937780865	-0.01509825629873178	-0.29803761309653537	-0.09278612916653875	-0.31506329373042974	-0.17234761338762658
UCSB_IZC00012454_L	Agapostemon texanus	0.11432404100365531	-0.40315173621618117	0.2470786039559235	-0.3034895617571828	0.17668732769419354	0.028517468180771458	0.20484730209394736	0.11068456688271164	0.03793756282334543	0.3178981525568416	0.001345113610876858	0.4992487779578435	-0.17476469990717142	-0.007412008216699406	-0.2927320581592931	-0.08716006446648433	-0.31472319311547947	-0.15513559492161888
UCSB_IZC00012454_R	Agapostemon texanus	0.10561394045938965	-0.39536270935618667	0.2474107450550791	-0.3030486522447609	0.17967014573553386	0.026775977250628427	0.20698241666155506	0.11217012471932214	0.04274542652771879	0.32050495259412215	1.4381777156552422E-4	0.5021866795174911	-0.1769867298427905	-0.009962094269424446	-0.29191715494106474	-0.08947639084763868	-0.3136626074269886	-0.16378788736355124
UCSB_IZC00036078_L	Agapostemon texanus	0.10520352211799971	-0.4033143026594919	0.23457637326680525	-0.29726463326137714	0.1811878284301735	0.029580830133646804	0.20903985780492712	0.1083269342744067	0.029533229518644205	0.3345248687857766	0.0069588405741597414	0.5031284131197292	-0.17035828166401587	-0.022896949370583994	-0.28715062558097265	-0.09144320134023336	-0.30899074446771985	-0.16064195968187375
UCSB_IZC00036078_R	Agapostemon texanus	0.11416118736703063	-0.4008204768307	0.235991049251062	-0.29949276110893375	0.1817554895247545	0.030592288975321152	0.20966435333165206	0.10577927191050761	0.036738268385431205	0.3285562617519651	0.0037607773606778416	0.49962709036025066	-0.1807865492812946	-0.016732820831541997	-0.292668127932769	-0.08664699046856232	-0.3086164480065442	-0.16086186375830788
UCSB_IZC00036320_L	Agapostemon texanus	0.11821910608531985	-0.40704677671543754	0.24992919294295562	-0.29911520007887077	0.17970995832377423	0.036312222552412496	0.20748076690931483	0.11244884593980964	0.03392295065319306	0.3249261021383343	0.008446047261766676	0.48018369571941044	-0.1826519653416187	-0.008641797317731417	-0.2948001056078463	-0.08398184159841275	-0.3202559512268591	-0.15508525063951412
UCSB_IZC00036320_R	Agapostemon texanus	0.11883574744474365	-0.4022785990965158	0.2528005470784377	-0.30505944057173295	0.18160816476120792	0.03271622412854627	0.2057127281345998	0.11555962574775347	0.03421824810146376	0.32713080033639946	0.007495689541963085	0.476242279430327	-0.18358661712683602	-0.007422972068345329	-0.29688214851699923	-0.08504084350159616	-0.3202023594185783	-0.15184707440483797
